排名,代码,简称,收盘（元）,权数（%）,涨跌,涨跌幅（%）,指数贡献点,成交量（万股）,成交额（万元）,总股本（亿股）,流通股本,总市值,流通市值,证监会行业,wind行业
273,002292.SZ,奥飞动漫,49.20 ,0.09 ,-0.05 ,-0.10 ,0.00 ,"1,878.52 ","93,288.95 ",6.32 ,1.85 ,310.91 ,90.95 ,文教、工美、体育和娱乐用品制造业,可选消费
274,002294.SZ,信立泰,33.00 ,0.09 ,-0.36 ,-1.08 ,-0.04 ,"1,777.09 ","58,115.50 ",10.46 ,2.76 ,345.19 ,91.17 ,医药制造业,医疗保健
275,002399.SZ,海普瑞,38.30 ,0.09 ,0.47 ,1.24 ,0.04 ,"1,155.22 ","44,103.80 ",8.00 ,1.95 ,306.48 ,74.84 ,医药制造业,医疗保健
276,002603.SZ,以岭药业,43.39 ,0.09 ,-0.76 ,-1.72 ,-0.06 ,799.09 ,"34,532.07 ",5.63 ,1.64 ,244.45 ,71.21 ,医药制造业,医疗保健
277,600038.SH,中直股份,49.25 ,0.09 ,0.37 ,0.76 ,0.03 ,"1,788.17 ","89,188.70 ",5.89 ,2.24 ,290.32 ,110.22 ,铁路、船舶、航空航天和其他运输设备制造业,工业
278,600058.SH,五矿发展,26.82 ,0.09 ,-0.66 ,-2.40 ,-0.09 ,"3,092.66 ","82,389.65 ",10.72 ,4.01 ,287.49 ,107.63 ,批发业,工业
279,600578.SH,京能电力,8.08 ,0.09 ,0.10 ,1.25 ,0.04 ,"10,854.96 ","86,237.94 ",46.17 ,11.37 ,373.08 ,91.86 ,电力、热力生产和供应业,公用事业
280,600998.SH,九州通,26.29 ,0.09 ,0.35 ,1.35 ,0.05 ,"2,864.88 ","74,657.67 ",16.43 ,3.11 ,431.96 ,81.69 ,批发业,医疗保健
281,600398.SH,海澜之家,16.56 ,0.08 ,0.32 ,1.97 ,0.06 ,"1,891.38 ","31,311.98 ",44.93 ,11.85 ,744.00 ,196.25 ,纺织服装、服饰业,可选消费
282,600783.SH,鲁信创投,42.21 ,0.08 ,1.08 ,2.63 ,0.08 ,"3,090.59 ","131,538.41 ",7.44 ,2.32 ,314.19 ,97.90 ,综合,工业
283,603288.SH,海天味业,33.44 ,0.08 ,-1.22 ,-3.52 ,-0.11 ,"1,164.90 ","39,253.95 ",27.06 ,2.69 ,905.03 ,90.11 ,食品制造业,日常消费
284,000536.SZ,华映科技,21.03 ,0.07 ,-0.24 ,-1.13 ,-0.03 ,"1,744.98 ","36,600.84 ",7.79 ,2.51 ,163.85 ,52.69 ,计算机、通信和其他电子设备制造业,信息技术
285,000937.SZ,冀中能源,9.74 ,0.07 ,-0.22 ,-2.21 ,-0.06 ,"7,086.93 ","69,795.00 ",27.18 ,7.08 ,264.74 ,69.00 ,煤炭开采和洗选业,能源
286,002429.SZ,兆驰股份,12.55 ,0.07 ,-0.21 ,-1.65 ,-0.05 ,"3,746.94 ","46,748.61 ",16.02 ,6.10 ,201.06 ,76.57 ,计算机、通信和其他电子设备制造业,可选消费
287,600395.SH,盘江股份,14.15 ,0.07 ,-0.48 ,-3.28 ,-0.09 ,"5,061.23 ","72,549.24 ",16.55 ,4.92 ,234.19 ,69.62 ,煤炭开采和洗选业,能源
288,600485.SH,信威集团,45.52 ,0.07 ,0.95 ,2.13 ,0.06 ,"1,165.04 ","52,571.21 ",29.24 ,1.39 ,"1,330.89 ",63.08 ,计算机、通信和其他电子设备制造业,信息技术
289,000869.SZ,张裕A,45.62 ,0.06 ,-0.97 ,-2.08 ,-0.05 ,463.97 ,"21,191.95 ",6.85 ,1.08 ,312.71 ,49.26 ,酒、饮料和精制茶制造业,日常消费
290,002653.SZ,海思科,25.89 ,0.06 ,-0.48 ,-1.82 ,-0.04 ,821.86 ,"21,459.49 ",10.80 ,2.86 ,279.68 ,74.14 ,医药制造业,医疗保健
291,600023.SH,浙能电力,9.25 ,0.06 ,-0.38 ,-3.95 ,-0.10 ,"20,584.28 ","191,644.30 ",118.37 ,7.91 ,"1,094.93 ",73.13 ,电力、热力生产和供应业,公用事业
292,600188.SH,兖州煤业,17.29 ,0.06 ,0.24 ,1.41 ,0.03 ,"5,973.96 ","104,528.99 ",49.18 ,3.60 ,850.39 ,62.24 ,煤炭开采和洗选业,能源
293,600809.SH,山西汾酒,24.96 ,0.06 ,0.32 ,1.30 ,0.03 ,"3,195.67 ","79,419.10 ",8.66 ,2.54 ,216.12 ,63.42 ,酒、饮料和精制茶制造业,日常消费
294,601158.SH,重庆水务,11.13 ,0.06 ,0.06 ,0.54 ,0.01 ,"4,763.22 ","52,708.16 ",48.00 ,5.50 ,534.24 ,61.22 ,水的生产和供应业,公用事业
295,000156.SZ,华数传媒,48.30 ,0.04 ,2.42 ,5.27 ,0.08 ,"1,076.07 ","51,174.23 ",11.47 ,1.18 ,553.85 ,57.15 ,广播、电视、电影和影视录音制作业,可选消费
296,002416.SZ,爱施德,19.66 ,0.04 ,-0.42 ,-2.09 ,-0.03 ,"1,565.99 ","30,743.14 ",10.04 ,2.05 ,197.32 ,40.27 ,批发业,信息技术
297,601225.SH,陕西煤业,10.45 ,0.04 ,0.00 ,0.00 ,0.00 ,"9,140.10 ","94,808.61 ",100.00 ,17.97 ,"1,045.00 ",187.76 ,煤炭开采和洗选业,能源
298,601231.SH,环旭电子,40.99 ,0.04 ,-0.64 ,-1.54 ,-0.02 ,803.31 ,"32,589.37 ",10.88 ,1.07 ,445.96 ,43.78 ,计算机、通信和其他电子设备制造业,信息技术
299,603993.SH,洛阳钼业,16.92 ,0.04 ,0.30 ,1.81 ,0.03 ,"6,440.28 ","107,684.07 ",50.76 ,2.42 ,858.89 ,40.90 ,有色金属矿采选业,材料
300,603699.SH,纽威股份,24.60 ,0.02 ,-0.30 ,-1.20 ,-0.01 ,"1,000.93 ","24,506.22 ",7.50 ,1.18 ,184.50 ,29.08 ,通用设备制造业,工业
